"Path","ClassName","RefCount","RefFiles"
"addons\godot_mcp\godot_mcp.gd","","0",""
"addons\godot_mcp\http_server.gd","","0",""
"addons\romestead_weather_free\romestead_environment_overlay.gd","","0",""
"addons\romestead_weather_free\romestead_environment_system.gd","","0",""
"scripts\api\doubao_embedding_client.gd","","0",""
"scripts\api\doubao_image_client.gd","DoubaoImageClient","0",""
"scripts\api\openai_image_client.gd","OpenAIImageClient","0",""
"scripts\api\services\deepseek\deepseek_chat_stream_service.gd","","0",""
"scripts\api\services\deepseek\deepseek_idle_quote_service.gd","","0",""
"scripts\api\services\deepseek\deepseek_memory_emotion_service.gd","","0",""
"scripts\api\services\deepseek\deepseek_narrative_service.gd","","0",""
"scripts\api\services\deepseek\deepseek_scene_event_service.gd","","0",""
"scripts\api\services\deepseek\deepseek_social_content_service.gd","","0",""
"scripts\api\tts\tts_manager.gd","","0",""
"scripts\autoload\audio_manager.gd","","0",""
"scripts\autoload\image_manager.gd","","0",""
"scripts\autoload\scene_transition_manager.gd","SceneTransitionManagerClass","0",""
"scripts\autoload\system_toast.gd","","0",""
"scripts\autoload\toast_item.gd","","0",""
"scripts\autoload\toast_manager.gd","","0",""
"scripts\data\activity_manager.gd","ActivityManager","0",""
"scripts\data\audit_logger.gd","","0",""
"scripts\data\event_manager.gd","","0",""
"scripts\data\expression_system.gd","ExpressionSystem","0",""
"scripts\data\game_data_manager.gd","","0",""
"scripts\data\goal_manager.gd","","0",""
"scripts\data\guide_manager.gd","","0",""
"scripts\data\interaction_manager.gd","","0",""
"scripts\data\main_chat_topic_manager.gd","","0",""
"scripts\data\map_data_manager.gd","","0",""
"scripts\data\memory_album_manager.gd","MemoryAlbumManager","0",""
"scripts\data\mobile_fixed_chat_manager.gd","","0",""
"scripts\data\moments_manager.gd","","0",""
"scripts\data\mood_system.gd","MoodSystem","0",""
"scripts\data\persona_lock_manager.gd","","0",""
"scripts\data\personality_system.gd","PersonalitySystem","0",""
"scripts\data\photo_memory_manager.gd","PhotoMemoryManager","0",""
"scripts\data\prompt_manager.gd","","0",""
"scripts\data\save_manager.gd","SaveManager","0",""
"scripts\data\stats_system.gd","StatsSystem","0",""
"scripts\data\story_post_event_manager.gd","","0",""
"scripts\data\story_time_manager.gd","","0",""
"scripts\data\weather_bridge.gd","","0",""
"scripts\dialogue\dialogue_manager.gd","","0",""
"scripts\script_engine\events\event_ai_chat.gd","","0",""
"scripts\script_engine\events\event_audio.gd","","0",""
"scripts\script_engine\events\event_background.gd","","0",""
"scripts\script_engine\events\event_bgm.gd","","0",""
"scripts\script_engine\events\event_dialogue.gd","","0",""
"scripts\script_engine\events\event_hide_character.gd","","0",""
"scripts\script_engine\events\event_jump.gd","","0",""
"scripts\script_engine\events\event_move_character.gd","","0",""
"scripts\script_engine\events\event_period_card.gd","","0",""
"scripts\script_engine\events\event_set_variable.gd","","0",""
"scripts\script_engine\events\event_show_character.gd","","0",""
"scripts\script_engine\events\event_show_player_call_name.gd","","0",""
"scripts\script_engine\events\event_start_free_chat.gd","","0",""
"scripts\script_engine\events\event_voice_call.gd","","0",""
"scripts\script_engine\script_event_factory.gd","ScriptEventFactory","0",""
"scripts\tools\dump_theme_format.gd","","0",""
"scripts\ui\activity\activity_cost_tag.gd","","0",""
"scripts\ui\activity\activity_item.gd","","0",""
"scripts\ui\activity\activity_panel.gd","","0",""
"scripts\ui\activity\activity_reward_tag.gd","","0",""
"scripts\ui\activity\course_slot.gd","","0",""
"scripts\ui\activity\rest_item.gd","","0",""
"scripts\ui\activity\schedule_event_panel.gd","","0",""
"scripts\ui\activity\schedule_execution_panel.gd","","0",""
"scripts\ui\archive\archive_memory_panel.gd","","0",""
"scripts\ui\archive\archive_personality_panel.gd","","0",""
"scripts\ui\archive\archive_relation_panel.gd","","0",""
"scripts\ui\archive\line_chart.gd","","0",""
"scripts\ui\archive\radar_chart.gd","","0",""
"scripts\ui\archive\relation_graph_node_card.gd","","0",""
"scripts\ui\archive\relation_graph_poster.gd","","0",""
"scripts\ui\common\confirm_dialog.gd","","0",""
"scripts\ui\common\dialogue_panel.gd","","0",""
"scripts\ui\common\info_popup.gd","","0",""
"scripts\ui\date\date_location_item.gd","","0",""
"scripts\ui\date\date_scene.gd","","0",""
"scripts\ui\date\date_type_item.gd","","0",""
"scripts\ui\desktop_pet\desktop_pet.gd","","0",""
"scripts\ui\desktop_pet\desktop_pet_settings_panel.gd","","0",""
"scripts\ui\desktop_pet\pet_body.gd","","0",""
"scripts\ui\desktop_pet\pomodoro_panel.gd","","0",""
"scripts\ui\diary\diary_panel.gd","","0",""
"scripts\ui\gift\gift_item.gd","","0",""
"scripts\ui\gift\gift_panel.gd","","0",""
"scripts\ui\guide\guide_overlay.gd","","0",""
"scripts\ui\history\history_item.gd","","0",""
"scripts\ui\history\history_panel.gd","","0",""
"scripts\ui\main\background_setting_item.gd","","0",""
"scripts\ui\main\background_setting_panel.gd","","0",""
"scripts\ui\main\backgrounds\core\bg_scene_base.gd","BackgroundSceneBase","0",""
"scripts\ui\main\backgrounds\core\default_room_bg.gd","","0",""
"scripts\ui\main\creation_music_panel.gd","","0",""
"scripts\ui\main\drawing_board_panel.gd","","0",""
"scripts\ui\main\incoming_call_notification.gd","","0",""
"scripts\ui\main\main_scene.gd","","0",""
"scripts\ui\main\music\creation_music_item.gd","","0",""
"scripts\ui\main\music\music_import_popup.gd","","0",""
"scripts\ui\main\music\music_player.gd","","0",""
"scripts\ui\main\music\music_playlist_item.gd","","0",""
"scripts\ui\main\music\music_playlist_popup.gd","","0",""
"scripts\ui\main\top_status_panel.gd","","0",""
"scripts\ui\main\weather_panel.gd","","0",""
"scripts\ui\map\art_gallery\art_study_menu.gd","","0",""
"scripts\ui\map\cafe\cafe_making_popup.gd","","0",""
"scripts\ui\map\cafe\cafe_order_menu.gd","","0",""
"scripts\ui\map\concert_hall\music_study_menu.gd","","0",""
"scripts\ui\map\core\area_item.gd","","0",""
"scripts\ui\map\core\exploration_map.gd","","0",""
"scripts\ui\map\core\location_button.gd","","0",""
"scripts\ui\map\core\location_detail_panel.gd","","0",""
"scripts\ui\map\core\location_hover_tooltip.gd","","0",""
"scripts\ui\map\core\minimap_ui.gd","","0",""
"scripts\ui\map\core\player_character.gd","","0",""
"scripts\ui\map\core\quick_action_button.gd","","0",""
